"id","name","surname","email","phone"
"00000000V","didier2","reyes2","email2","103428789"
"11111111V","didier3","reyes3","email3","133458739"
"58481818V","didier","reyes","email","103458789"
"user_id","car_plate","orderDate","quantity"
"58481818V","1111BAB","2023-12-16","1"
"plate","model","year","price","make","color_code","dealer_id"
"1111BAB","19 TSE Chamade","1995","750.49","Renault","AMAR00","1"
"1258FRA","Passat","2000","8000.49","Volkswagen","AZMAR10","1"
"1478CCA","Astra","2003","3200.88","Opel","AMAR10","2"
"2222AAA","A1 TD1","2023","5000.99","Audi","BLA00","2"
"4945EEE","AX 14 TZX","2005","1500.65","Citroen","BLA00","3"
"5555BPE","320 D","2010","10000.5","BMW","VERDOS10","3"
"5848EEA","Saxo","2007","4000.36","Citroen","GRAN10","4"
"6466III","Arosa","2011","3000.99","Seat","ROJ00","4"
"8523BPA","Megane Europa","2014","10000.7","Renault","AZMAR10","5"
"9345VPP","206HDI","2020","6500.75","Peugeot","GRAN10","5"
"code","description","metal"
"AMAR00","Amarillo normal","0"
"AMAR10","Amarillo metalizado","1"
"AZMAR00","Azul marino","0"
"AZMAR10","Azul marino metalizado","1"
"BLA00","Blanco","0"
"GRAN10","Granate metalizado","1"
"GRISMAR10","Gris marengo metalizado","1"
"GRISPER10","Gris perla metalizado","1"
"NEG00","Negro","0"
"ROJ00","Rojo","0"
"VERDOS10","Verde oscuro metalizado","1"
"did","dealer_name","location","contact_phone"
"1","CarroceriasPepe","Av.Costa","123456789"
"2","CarroceriasManuel","Av.Verde","120456789"
"3","CarroceriasJavier","Av.Azul","123456779"
"4","CarroceriasJose","Av.Monopoly","123456789"
"5","CarroceriasJuan","Av.España","123456589"
